LS,MFL,MSR,WAMP,Class
2.8430154444948932e-06,-3.3674377554069284,0.0012908754273851769,0,0
2.854567051246382e-06,-3.3625901766141477,0.001322907219870088,0,0
2.8669987804170312e-06,-3.3599686727877676,0.0013398232063060974,0,0
2.9507534301304427e-06,-3.332539314353973,0.0013457983163070414,0,0
2.9210492984837574e-06,-3.3296861258906456,0.001352330447996966,0,0
2.9854302534453866e-06,-3.323634548897055,0.0013481669892828657,0,0
3.240654753471843e-06,-3.304433921236026,0.0013686798137045443,0,0
2.987883594688798e-06,-3.307897519866381,0.001328295186027894,0,0
3.335641965559797e-06,-3.285312128712522,0.0014068995813076436,0,0
3.5048234975830237e-06,-3.2751612112691557,0.0014572800817164477,0,0
3.7033901168759897e-06,-3.269819268372419,0.0014819116996017873,0,0
3.7477592883319455e-06,-3.2773165232952906,0.0014637334899508514,0,0
4.116420566658018e-06,-3.250098807366589,0.0014980954932802017,0,0
4.231386557660926e-06,-3.252132977277042,0.0015398386520011713,0,0
4.2996400512668645e-06,-3.2417241845486675,0.0015495109584848861,0,0
4.217491624968423e-06,-3.2517932866207695,0.0015226156246932836,0,0
3.911275032281823e-06,-3.283481976480732,0.0014591544796413245,0,0
3.8379278301749924e-06,-3.2923379057373854,0.0014261412105628973,0,0
3.5640337333320813e-06,-3.304433921236026,0.0013755664652214193,0,0
3.693510742720908e-06,-3.2812959258152667,0.0013846245780789542,0,0
3.5959601740871484e-06,-3.2816595043060732,0.0013740028683651637,0,0
3.4779137546171756e-06,-3.2809326514470314,0.0013552980979361564,0,0
3.199564038027263e-06,-3.307125440584096,0.0013457247463909802,0,0
3.006982251184591e-06,-3.307511308652042,0.0012964523257814626,0,0
3.21250183758893e-06,-3.271237374063138,0.0013223866716222698,0,0
3.823834869938176e-06,-3.254176719787028,0.0014497598889141197,0,0
3.932662007067436e-06,-3.2162743649805874,0.0014995044773240644,0,0
3.972751583260221e-06,-3.2063754867163667,0.001509089078482796,0,0
4.02583396666587e-06,-3.2039356236592678,0.0015262209790327204,0,0
3.9315618540434855e-06,-3.217527740978684,0.0015114534002148784,0,0
3.886906642801303e-06,-3.230587818430708,0.0015100731005027626,0,0
3.90277084940668e-06,-3.225444374366929,0.0015173005331893235,0,0
4.161592849821458e-06,-3.2116061600710633,0.0015469299205514864,0,0
4.291498918889625e-06,-3.2296187712114652,0.0015939705249851893,0,0
4.0767820532050545e-06,-3.2680531232710166,0.0015351010739390973,0,0
3.7349095010121935e-06,-3.2871500260043343,0.0014749286410088791,0,0
4.028870389011976e-06,-3.2816595043060732,0.0015422639241984778,0,0
4.038155680534124e-06,-3.273373252869358,0.001546532817718612,0,0
3.950352467692573e-06,-3.2838473904542487,0.0014887191486316871,0,0
3.849446432335762e-06,-3.300237806642418,0.0014730710911576494,0,0
3.807453591411542e-06,-3.2798446480005747,0.0014539406550473264,0,0
3.8254410933531455e-06,-3.2875185406483407,0.0014615790306327734,0,0
3.4602452970525184e-06,-3.2908493199375832,0.0014032970392547006,0,0
3.4165802235318918e-06,-3.2776767841885364,0.0013854679615642894,0,0
3.4338416244776866e-06,-3.2614065214060033,0.001405718464750394,0,0
3.297576670931082e-06,-3.269111948212969,0.0014023801184738993,0,0
2.945296671131644e-06,-3.301378186681209,0.0013152136866302758,0,0
2.9048990520921532e-06,-3.2987219430374686,0.0013205570818771615,0,0
2.970039112640308e-06,-3.2864139334859086,0.0013573006125638164,0,0
2.8964718799286855e-06,-3.2904779693532618,0.0013151882904099818,0,0
2.9380686657642838e-06,-3.2998583444235168,0.0013547764721271256,0,0
2.916890720053222e-06,-3.2987219430374686,0.0013019487526256801,0,0
2.868781028315832e-06,-3.3156947577062432,0.0012988116749238364,0,0
3.0227144394270946e-06,-3.3029033664116887,0.0013132785241759392,0,0
2.9702151371241396e-06,-3.3304994116749533,0.0012993194154435612,0,0
2.840925153749386e-06,-3.333357965834653,0.0012510817268598417,0,0
2.9145803987029233e-06,-3.3358232202228955,0.0012786296615267543,0,0
2.9636362220409106e-06,-3.347093387502145,0.0012754343010065621,0,0
